number_1,number_2,full_cond,accuracy,ablated_unit,diff_from_full
plural,singular,plural_singular,0.9116666666666666,1252.0,0.0
plural,plural,plural_plural,0.9983333333333332,1252.0,0.0
singular,singular,singular_singular,1.0,55.0,0.0
singular,plural,singular_plural,0.9566666666666668,55.0,0.0
plural,singular,plural_singular,0.9116666666666666,55.0,0.0
plural,plural,plural_plural,0.9983333333333332,55.0,0.0
singular,singular,singular_singular,1.0,478.0,0.0
singular,plural,singular_plural,0.9566666666666668,478.0,0.0
plural,singular,plural_singular,0.91,478.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,478.0,0.0
singular,singular,singular_singular,1.0,350.0,0.0
singular,plural,singular_plural,0.9533333333333334,350.0,-0.0033333333333334103
plural,singular,plural_singular,0.9116666666666666,350.0,0.0
plural,plural,plural_plural,0.9983333333333332,350.0,0.0
singular,singular,singular_singular,1.0,1150.0,0.0
singular,plural,singular_plural,0.9416666666666668,1150.0,-0.015000000000000013
plural,singular,plural_singular,0.9233333333333332,1150.0,0.011666666666666603
plural,plural,plural_plural,0.9983333333333332,1150.0,0.0
singular,singular,singular_singular,1.0,100.0,0.0
singular,plural,singular_plural,0.9566666666666668,100.0,0.0
plural,singular,plural_singular,0.9116666666666666,100.0,0.0
plural,plural,plural_plural,0.9983333333333332,100.0,0.0
singular,singular,singular_singular,1.0,400.0,0.0
singular,plural,singular_plural,0.9566666666666668,400.0,0.0
plural,singular,plural_singular,0.9116666666666666,400.0,0.0
plural,plural,plural_plural,0.9983333333333332,400.0,0.0
singular,singular,singular_singular,1.0,228.0,0.0
singular,plural,singular_plural,0.9533333333333334,228.0,-0.0033333333333334103
plural,singular,plural_singular,0.9183333333333332,228.0,0.006666666666666599
plural,plural,plural_plural,0.9983333333333332,228.0,0.0
singular,singular,singular_singular,1.0,1212.0,0.0
singular,plural,singular_plural,0.9566666666666668,1212.0,0.0
plural,singular,plural_singular,0.9116666666666666,1212.0,0.0
plural,plural,plural_plural,0.9983333333333332,1212.0,0.0
singular,singular,singular_singular,1.0,148.0,0.0
singular,plural,singular_plural,0.9566666666666668,148.0,0.0
plural,singular,plural_singular,0.9116666666666666,148.0,0.0
plural,plural,plural_plural,0.9983333333333332,148.0,0.0
singular,singular,singular_singular,1.0,36.0,0.0
singular,plural,singular_plural,0.9533333333333334,36.0,-0.0033333333333334103
plural,singular,plural_singular,0.9133333333333332,36.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,36.0,0.0
singular,singular,singular_singular,1.0,670.0,0.0
singular,plural,singular_plural,0.955,670.0,-0.0016666666666668162
plural,singular,plural_singular,0.9116666666666666,670.0,0.0
plural,plural,plural_plural,0.9983333333333332,670.0,0.0
singular,singular,singular_singular,1.0,922.0,0.0
singular,plural,singular_plural,0.9666666666666668,922.0,0.010000000000000009
plural,singular,plural_singular,0.8316666666666667,922.0,-0.07999999999999996
plural,plural,plural_plural,0.9833333333333332,922.0,-0.015000000000000013
singular,singular,singular_singular,1.0,497.0,0.0
singular,plural,singular_plural,0.9583333333333334,497.0,0.0016666666666665941
plural,singular,plural_singular,0.9116666666666666,497.0,0.0
plural,plural,plural_plural,0.9983333333333332,497.0,0.0
singular,singular,singular_singular,1.0,282.0,0.0
singular,plural,singular_plural,0.9566666666666668,282.0,0.0
plural,singular,plural_singular,0.9133333333333332,282.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,282.0,0.0
singular,singular,singular_singular,1.0,621.0,0.0
singular,plural,singular_plural,0.9533333333333334,621.0,-0.0033333333333334103
plural,singular,plural_singular,0.9133333333333332,621.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,621.0,0.0
singular,singular,singular_singular,1.0,231.0,0.0
singular,plural,singular_plural,0.9566666666666668,231.0,0.0
plural,singular,plural_singular,0.9116666666666666,231.0,0.0
plural,plural,plural_plural,0.9983333333333332,231.0,0.0
singular,singular,singular_singular,1.0,457.0,0.0
